run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
19,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.99389),Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.99389,7,-43,1,2,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.99389)
19,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.99389) AND (income_Category == Less than $40K),income_Category == Less than $40K,3,-40,2,3,(Avg_Utilization_Ratio <= 0) AND (Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.99389) AND (income_Category == Less than $40K)
20,(Total_Trans_Ct > 92),Total_Trans_Ct > 92,8,51,0,1,(Total_Trans_Ct > 92)
20,(Total_Trans_Ct > 92) AND (education_Level == Uneducated),education_Level == Uneducated,3,59,1,2,(Total_Trans_Ct > 92) AND (education_Level == Uneducated)
20,(Total_Trans_Ct <= 92),Total_Trans_Ct <= 92,22,-18,0,1,(Total_Trans_Ct <= 92)
20,(Total_Trans_Ct <= 92) AND (income_Category == $120K +),income_Category == $120K +,5,4,1,2,(Total_Trans_Ct <= 92) AND (income_Category == $120K +)
20,(Total_Trans_Ct <= 92) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,5,-18,1,2,(Total_Trans_Ct <= 92) AND (income_Category == $40K - $60K)
20,(Total_Trans_Ct <= 92) AND (income_Category == $40K - $60K) AND (education_Level == Uneducated),education_Level == Uneducated,3,-32,2,3,(Total_Trans_Ct <= 92) AND (income_Category == $40K - $60K) AND (education_Level == Uneducated)
20,(Total_Trans_Ct <= 92) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,5,-22,1,2,(Total_Trans_Ct <= 92) AND (income_Category == $60K - $80K)
20,(Total_Trans_Ct <= 92) AND (income_Category == Less than $40K),income_Category == Less than $40K,4,-48,1,2,(Total_Trans_Ct <= 92) AND (income_Category == Less than $40K)
21,(card_Category == Silver),card_Category == Silver,3,51,0,1,(card_Category == Silver)
21,(card_Category == Blue),card_Category == Blue,25,-14,0,1,(card_Category == Blue)
21,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,18,-6,1,2,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0)
21,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.134),Avg_Utilization_Ratio <= 0.134,5,19,2,3,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.134)
21,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.134),Avg_Utilization_Ratio > 0.134,13,-16,2,3,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.134)
21,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.134) AND (Total_Trans_Amt > 1665),Total_Trans_Amt > 1665,8,-9,3,4,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.134) AND (Total_Trans_Amt > 1665)
21,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.134) AND (Total_Trans_Amt <= 1665),Total_Trans_Amt <= 1665,5,-27,3,4,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.134) AND (Total_Trans_Amt <= 1665)
21,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,7,-33,1,2,(card_Category == Blue) AND (Avg_Utilization_Ratio <= 0)
