run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
3,(Avg_Utilization_Ratio <= 0) AND (Customer_Age > 44),Customer_Age > 44,5,-82,1,2,(Avg_Utilization_Ratio <= 0) AND (Customer_Age > 44)
4,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,3,49,1,2,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio > 0)
4,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,4,0,1,2,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio <= 0)
5,(income_Category == $80K - $120K) AND (card_Category == Blue),card_Category == Blue,10,18,1,2,(income_Category == $80K - $120K) AND (card_Category == Blue)
5,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM <= 718246458),CLIENTNUM <= 718246458,4,44,2,3,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM <= 718246458)
5,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM > 718246458),CLIENTNUM > 718246458,6,0,2,3,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM > 718246458)
5,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM > 718246458) AND (Total_Amt_Chng_Q4_Q1 > 0.715),Total_Amt_Chng_Q4_Q1 > 0.715,3,15,3,4,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM > 718246458) AND (Total_Amt_Chng_Q4_Q1 > 0.715)
5,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM > 718246458) AND (Total_Amt_Chng_Q4_Q1 <= 0.715),Total_Amt_Chng_Q4_Q1 <= 0.715,3,-13,3,4,(income_Category == $80K - $120K) AND (card_Category == Blue) AND (CLIENTNUM > 718246458) AND (Total_Amt_Chng_Q4_Q1 <= 0.715)
6,(Avg_Utilization_Ratio <= 0.098),Avg_Utilization_Ratio <= 0.098,13,29,0,1,(Avg_Utilization_Ratio <= 0.098)
6,(Avg_Utilization_Ratio <= 0.098) AND (Contacts_Count_12_mon <= 2),Contacts_Count_12_mon <= 2,6,57,1,2,(Avg_Utilization_Ratio <= 0.098) AND (Contacts_Count_12_mon <= 2)
6,(Avg_Utilization_Ratio <= 0.098) AND (Contacts_Count_12_mon > 2),Contacts_Count_12_mon > 2,7,5,1,2,(Avg_Utilization_Ratio <= 0.098) AND (Contacts_Count_12_mon > 2)
6,(Avg_Utilization_Ratio > 0.098),Avg_Utilization_Ratio > 0.098,17,-22,0,1,(Avg_Utilization_Ratio > 0.098)
6,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <= 0.291),Avg_Utilization_Ratio <= 0.291,8,-12,1,2,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <= 0.291)
6,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <= 0.291) AND (Total_Amt_Chng_Q4_Q1 > 0.945),Total_Amt_Chng_Q4_Q1 > 0.945,3,0,2,3,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <= 0.291) AND (Total_Amt_Chng_Q4_Q1 > 0.945)
6,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <= 0.291) AND (Total_Amt_Chng_Q4_Q1 <= 0.945),Total_Amt_Chng_Q4_Q1 <= 0.945,5,-20,2,3,(Avg_Utilization_Ratio > 0.098) AND (Avg_Utilization_Ratio <= 0.291) AND (Total_Amt_Chng_Q4_Q1 <= 0.945)
